"Country_Name","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"Angola","231.059","396.677","215.87","-281.356","-440.464","261.463","848.602","505.037","-40.085","-819.375","-427.614","-205.212","-339.406","-142.343","11.462","128.511"
"Angola","9.389","11.811","4.656","-4.455","-7.355","3.45","8.677","4.586","-0.334","-6.445","-3.497","-1.4","-1.959","-0.703","0.049","0.483"
"Angola","","","","","","","","","","","","","","","",""
"Angola","","","","","","","","","","","","","","","",""
"Angola","279.643","450.016","269.528","-158.7","-337.328","350.999","943.251","610.322","59.02","-669.879","-238.983","83.038","-9.295","251.363","475.859","633.073"
"Angola","11.364","13.399","5.813","-2.513","-5.633","4.631","9.645","5.543","0.492","-5.269","-1.955","0.566","-0.054","1.241","2.044","2.38"
"Angola","","","","","","","","","","","","","","","",""
"Angola","","","","","","","","","","","","","","","",""
"Angola","948.869","628.743","761.641","1,049.52","2,986.98","2,939.85","3,074.17","3,156.25","4,344.02","5,370.54","7,015.71","7,772.80","8,655.87","9,339.07","9,847.80","10,204.52"
"Angola","38.559","18.721","16.426","16.616","49.877","38.787","31.433","28.663","36.245","42.244","57.377","53.026","49.965","46.119","42.305","38.369"
"Angola","2,460.83","3,358.54","4,636.80","6,316.16","5,988.68","7,579.55","9,780.10","11,011.43","11,985.05","12,713.05","12,227.29","14,658.39","17,323.90","20,250.07","23,278.02","26,595.84"
"Angola","5.138","10.69","10.581","7.194","-7.572","7.506","13.085","13.853","8.348","-1.951","-7.784","-5.522","-4.682","-3.43","-3.401","-3.754"
"Angola","18.198","25.58","17.504","8.546","-10.03","9.101","12.567","12.011","6.723","-1.509","-7.63","-5.588","-4.443","-3.048","-2.848","-2.953"
"Antigua and Barbuda","2.348","2.647","2.834","2.878","2.571","2.351","2.308","2.391","2.428","2.53","2.584","2.639","2.702","2.775","2.85","2.927"
"Antigua and Barbuda","7.214","12.715","7.07","1.542","-10.666","-8.528","-1.867","3.609","1.537","4.206","2.15","2.13","2.4","2.7","2.7","2.7"
"Antigua and Barbuda","2.693","3.065","3.481","3.638","3.257","3.066","3.051","3.253","3.2","3.37","3.47","3.586","3.743","3.937","4.147","4.367"
"Antigua and Barbuda","0.997","1.135","1.289","1.347","1.206","1.136","1.13","1.205","1.185","1.248","1.285","1.328","1.386","1.458","1.536","1.617"
"Antigua and Barbuda","114.682","115.799","122.836","126.421","126.712","130.388","132.211","136.052","131.801","133.222","134.288","135.897","138.507","141.873","145.477","149.173"
"Antigua and Barbuda","29,261.51","32,631.22","34,566.51","34,726.05","30,692.10","27,775.82","26,967.34","27,643.26","27,769.50","28,629.44","28,933.84","29,235.56","29,618.66","30,094.70","30,578.38","31,069.84"
"Antigua and Barbuda","33,557.61","37,786.60","42,459.97","43,901.12","38,890.57","36,216.41","35,653.69","37,609.30","36,600.47","38,140.63","38,854.73","39,730.24","41,024.02","42,696.19","44,484.50","46,347.72"
